"filename", "language", "Lua", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\build\app.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\build\home.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\build\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\build\member.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\build\store.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\build\upgrade.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\fxmanifest.lua", "Lua", 0, 0, 0, 0, 0, 0, 1, 1
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\package-lock.json", "JSON", 0, 0, 15011, 0, 0, 0, 1, 15012
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\package.json", "JSON", 0, 0, 40, 0, 0, 0, 1, 41
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\home.css", "CSS", 0, 0, 0, 136, 0, 2, 13, 151
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\home.js", "JavaScript", 0, 165, 0, 0, 0, 2, 8, 175
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 13
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\index.js", "JavaScript", 0, 248, 0, 0, 0, 4, 6, 258
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\member.css", "CSS", 0, 0, 0, 57, 0, 1, 3, 61
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\member.js", "JavaScript", 0, 148, 0, 0, 0, 2, 10, 160
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\store.css", "CSS", 0, 0, 0, 64, 0, 0, 5, 69
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\store.js", "JavaScript", 0, 116, 0, 0, 0, 2, 9, 127
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\style.css", "CSS", 0, 0, 0, 68, 0, 1, 7, 76
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\src\upgrade.js", "JavaScript", 0, 95, 0, 0, 0, 0, 3, 98
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_gang\webpack.config.js", "JavaScript", 0, 45, 0, 0, 0, 1, 1, 47
"Total", "-", 0, 821, 15051, 325, 14, 19, 69, 16299